psi_f,Ks,theta_s,theta_i,A_s
0.020529,1.1e-05,0.37,0.15,108.69565217391305
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.391304347826
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.39130434782624
0.020529,1.1e-05,0.37,0.15,217.3913043478261
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,163.04347826086953
0.020529,1.1e-05,0.37,0.15,108.69565217391312
0.020529,1.1e-05,0.37,0.15,163.04347826086968
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,217.39130434782624
0.020529,1.1e-05,0.37,0.15,217.39130434782624
0.020529,1.1e-05,0.37,0.15,217.39130434782624
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,217.39130434782624
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,217.39130434782595
0.020529,1.1e-05,0.37,0.15,108.69565217391312
