name,id,z_inv,h_0,max_depth,map_x,map_y,a,b,c,bc,storage,table
93-49743,0,266.46,0.00E+00,inf,13289643.19,271745.062,0,0,1710,FALSE,functional,*
93-49868,1,278.33,0.00E+00,inf,13288433.83,271231.033,0,0,120,FALSE,functional,*
93-49919,2,264.57,0.00E+00,inf,13289921.82,269944.177,0,0,423,FALSE,functional,*
93-49921,3,257.86,0.00E+00,inf,13290104.28,269914.509,0,0,10432,FALSE,functional,*
93-50074,4,261.6,0.00E+00,inf,13289953.88,270675.717,0,0,4672,FALSE,functional,*
93-50076,5,253.75,0.00E+00,inf,13290919.05,269463.631,0,0,10125,FALSE,functional,*
93-50077,6,246.89,0.00E+00,inf,13291897.67,269423.15,0,0,10400,FALSE,functional,*
93-50081,7,250.39,0.00E+00,inf,13291100.87,269448.455,0,0,263,FALSE,functional,*
93-50225,8,268.53,0.00E+00,inf,13289271.16,270937.709,0,0,2635,FALSE,functional,*
93-90357,9,275.54,0.00E+00,inf,13289369.65,271038.425,0,0,688,FALSE,functional,*
93-90358,10,274.62,0.00E+00,inf,13288698.69,271186.2,0,0,1308,FALSE,functional,*
Outfall,11,246.89,0.00E+00,inf,13292315.16,269516.328,0,0,0,FALSE,functional,*
J13,12,278.23,0.00E+00,inf,13288488.11,271218.825,0,0,0,FALSE,functional,*
J14,13,274.62,0.00E+00,inf,13288749.21,271166.605,0,0,0,FALSE,functional,*
J15,14,268.53,0.00E+00,inf,13289299.06,270896.287,0,0,0,FALSE,functional,*
J18,15,266.46,0.00E+00,inf,13289655.39,271704.168,0,0,0,FALSE,functional,*
J19,16,261.6,0.00E+00,inf,13289999.43,270647.473,0,0,0,FALSE,functional,*
J22,17,275.54,0.00E+00,inf,13289339.85,271011.014,0,0,0,FALSE,functional,*
J23,18,264.57,0.00E+00,inf,13289960.9,269936.165,0,0,0,FALSE,functional,*
J24,19,257.86,0.00E+00,inf,13290142.42,269893.336,0,0,0,FALSE,functional,*
J25,20,253.75,0.00E+00,inf,13290956.16,269460.97,0,0,0,FALSE,functional,*
J26,21,250.39,0.00E+00,inf,13291135.63,269446.693,0,0,0,FALSE,functional,*
Outfall2,22,240,1.50E+00,inf,13292335.16,269536.328,0,0,1.00E+08,FALSE,functional,*
